"","ID","MonthlyIncome"
"1",871,5627.43497287717
"2",872,2751.99459679211
"3",873,14692.8314604609
"4",874,2663.06298490885
"5",875,2663.06298490885
"6",876,3992.12725248083
"7",877,5627.43497287717
"8",878,2663.06298490885
"9",879,2751.99459679211
"10",880,14372.137216596
"11",881,9093.01674974742
"12",882,2663.06298490885
"13",883,5627.43497287717
"14",884,5627.43497287717
"15",885,5627.43497287717
"16",886,5700.02641973164
"17",887,5952.15763575687
"18",888,5700.02641973164
"19",889,4136.85413908746
"20",890,2620.57041304806
"21",891,4992.17197162514
"22",892,9093.01674974742
"23",893,9093.01674974742
"24",894,5627.43497287717
"25",895,8991.66011954838
"26",896,9051.05307920605
"27",897,9093.01674974742
"28",898,15990.5645619101
"29",899,5627.43497287717
"30",900,2751.99459679211
"31",901,2663.06298490885
"32",902,5627.43497287717
"33",903,5627.43497287717
"34",904,2663.06298490885
"35",905,15990.5645619101
"36",906,5627.43497287717
"37",907,8991.66011954838
"38",908,5700.02641973164
"39",909,2663.06298490885
"40",910,2751.99459679211
"41",911,19642.6213300932
"42",912,2620.57041304806
"43",913,2663.06298490885
"44",914,13111.009252744
"45",915,5700.02641973164
"46",916,4136.85413908746
"47",917,2751.99459679211
"48",918,5627.43497287717
"49",919,2621.89257942835
"50",920,2663.06298490885
"51",921,2621.89257942835
"52",922,2663.06298490885
"53",923,4136.85413908746
"54",924,4428.27022764598
"55",925,15990.5645619101
"56",926,2663.06298490885
"57",927,5627.43497287717
"58",928,13056.3895728182
"59",929,2663.06298490885
"60",930,2663.06298490885
"61",931,5627.43497287717
"62",932,13056.3895728182
"63",933,9093.01674974742
"64",934,2663.06298490885
"65",935,2663.06298490885
"66",936,2663.06298490885
"67",937,8991.66011954838
"68",938,9051.05307920605
"69",939,4992.17197162514
"70",940,2621.89257942835
"71",941,2663.06298490885
"72",942,9093.01674974742
"73",943,9093.01674974742
"74",944,5700.02641973164
"75",945,2621.89257942835
"76",946,5952.15763575687
"77",947,2621.89257942835
"78",948,2751.99459679211
